1)   Gender,2)    Age,3)    Education Level,4)   Major,5)  administrative regions,"6)  How often do you use the Internet and Internet-related services? (E.g. Email, WhatsApp, News, YouTube",7) What are your Internet/ Digital devices skills level?,"8)   Of the following, which digital devices do you use regularly? Tick all that apply",9)  What type of connectivity services do you use in your daily activities? Tick all that apply,10)  For what purposes do you use the Internet? Tick all that apply,"20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each   [I am concerned about identity theft (somebody stealing your personal data and impersonating you, e.g. tweeting under your name)]",20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am not concerned about accidentally encountering child pornography online],"20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about receiving phishing emails (e.g. asking for money, personal information or bank account details]",20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about not being able to access online services (e.g. banking services) because of cyber attacks],20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about accidentally encountering material that promotes hatred or religious extremism],"20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [Online extortion (a demand for money to avert or stop extortion, or to avert scandal)]","Other, please specify","22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [The government]","22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [The media]","22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [Those offering online/Internet-based services (e.g. banks, online retailers, telecommunication companies, etc.)]","22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [User itself]","22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [Education system]","Other, please specify.1","A. If Yes, When you had been a victim of cyber crime, did you report it?","If Yes, To whom did you report or contact?  (Please check all that apply)","If No, What was/were the reason/s? (Please check all that apply)","If Yes, To whom would you report or contact?  (Please check all that apply)","If No, What is/are the reason/s? (Please check all that apply)"
Male,30-39,"Postgraduate (Masters, PhD)",Computer Science',,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Always,Do not know,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,,I fixed the problem by myself,,I do not know what the crime means
Female,18-29,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks",Do not know,Do not know,Always,Always,Never,Never,,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,,,,,Dont know but will ask friends for advice,
Male,30-39,"Postgraduate (Masters, PhD)",Computer Science,,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Always,Do not know,Always,Always,Always,Always,,Agree,Agree,Agree,Agree,Agree,,No,,I did not know how to describe or write reports about cyber crime ,,I do not know who to write report about cyber crime
Male,30-39,High School,,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Always,Sometimes,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,,,"Police, Dont know but will ask friends for advice",
Male,30-39,"Undergraduate (Diploma, BSc)",Business Administration,,Once or twice a day ,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",   Desktop,Private Wi-Fi (e.g. in your home),Education,Never,Do not know,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,,"I did not know who to write report about cyber crime, I did not trust the third party",,I do not know what the crime means
Female,30-39,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Social networks, Communication",Somtimes,Sometimes,Sometimes,Sometimes,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Police,
Male,40-49,"Undergraduate (Diploma, BSc)",Social Science,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Smartphone, Tablet","Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Social networks, Online services, Communication",Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Saudi CERT, Police",
Female,50+,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Always,Always,Always,Always,Sometimes,Always,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Arts,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Private Wi-Fi (e.g. in your home),Education,Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,No,,"I did not know who to write report about cyber crime, I did not know what the impact on me will be, I did not know how to describe or write reports about cyber crime , I think that there is no value of reporting, I fixed the problem by myself",,I do not know how to describe or write reports about cyber crime 
Male,30-39,"Undergraduate (Diploma, BSc)",Engineering,,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,Always,,Agree,Disagree,Agree,Agree,Agree,,,,,,I feel it will be waste of time
Female,18-29,"Undergraduate (Diploma, BSc)",Engineering,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Professional reasons, Education, Social networks, Online services, Communication",Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Saudi CERT",
Male,40-49,"Undergraduate (Diploma, BSc)",Social Science,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,,I did not know how to describe or write reports about cyber crime ,,Not sure
Female,18-29,"Undergraduate (Diploma, BSc)",Business Administration,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet",Private Wi-Fi (e.g. in your home),"Education, Social networks, Online services",Always,Always,Always,Never,Never,Do not know,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,,,"Saudi CERT, Police, Dont know but will ask friends for advice",
Female,40-49,"Undergraduate (Diploma, BSc)",Education,,Once or twice a day ,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Entertainment, Communication",Never,Never,Never,Sometimes,Sometimes,Sometimes,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,,,,Dont know but will ask friends for advice,
Male,40-49,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Private Wi-Fi (e.g. in your home),"Education, Social networks, Online services",Always,Always,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Dont know but will ask friends for advice,
Male,18-29,"Undergraduate (Diploma, BSc)",Library Managment,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",   Desktop,Broadband (wired),Social networks,Always,Do not know,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Saudi CERT,
Female,30-39,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),Communication,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Do not know,Do not know,Sometimes,Never,Never,Never,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,,,,"Saudi eGovernment Portal , Saudi CERT",
Male,50+,"Undergraduate (Diploma, BSc)",Engineering,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Communication",Always,Never,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,,,,Dont know but will ask friends for advice,
Female,40-49,"Undergraduate (Diploma, BSc)",,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",  Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)",Social networks,Always,Always,Always,Always,Always,Always,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,Saudi CERT,
Female,30-39,"Undergraduate (Diploma, BSc)",Chemsitry ,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Entertainment,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,,,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine-or-public-health,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Communication",Never,Do not know,Do not know,Do not know,Do not know,Do not know,,Disagree,Agree,Agree,Agree,Agree,,,,,"Saudi eGovernment Portal , Saudi CERT, Police",
Male,30-39,"Undergraduate (Diploma, BSc)",Business Administration,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Entertainment, Communication",Do not know,Always,Do not know,Do not know,Always,Do not know,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Saudi CERT, Police, Committee for the Promotion of Virtue and the Prevention of Vice",
Female,40-49,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Education,Always,Do not know,Always,Always,Always,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,,"I did not know what the crime was , I did not know who to write report about cyber crime, I did not know what the impact on me will be, I did not know how to describe or write reports about cyber crime , I feel it is waste of time, I think that there is no value of reporting, I did not trust the third party, I fixed the problem by myself, Not sure",,I do not know who to write report about cyber crime
Male,30-39,"Undergraduate (Diploma, BSc)",Engineering,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Online services, Communication",Somtimes,Sometimes,Sometimes,Always,Always,Sometimes,,Agree,Agree,Agree,Agree,Agree,,,,,Dont know but will ask friends for advice,
Female,40-49,"Undergraduate (Diploma, BSc)",Education,Makkah,Once or twice a day ,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",  Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Education,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Agree,Agree,Agree,Agree,Agree,,,,,Dont know but will ask friends for advice,
Female,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Communication",Never,Do not know,Always,Always,Always,Always,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Saudi CERT",
Female,18-29,"Undergraduate (Diploma, BSc)",Languages,Asir,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Communication",Always,Sometimes,Always,Always,Always,Always,,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,,,,,"Police, Committee for the Promotion of Virtue and the Prevention of Vice",
Male,30-39,"Postgraduate (Masters, PhD)",Law,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",     Laptop,"Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Always,Do not know,Always,Never,Always,Never,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,"Saudi eGovernment Portal , Saudi CERT, Police",
